level_0,index,X_Raster,Y_Raster,rock_types
698,993,380.0,405.0,0.0
699,995,360.0,406.0,0.0
700,996,361.0,406.0,0.0
701,997,362.0,406.0,0.0
702,998,364.0,406.0,0.0
703,999,365.0,406.0,0.0
704,1000,366.0,406.0,0.0
705,1001,367.0,406.0,0.0
706,1002,368.0,406.0,0.0
707,1003,369.0,406.0,0.0
708,1005,371.0,406.0,0.0
709,1006,372.0,406.0,0.0
710,1007,373.0,406.0,0.0
711,1008,374.0,406.0,0.0
712,1009,375.0,406.0,0.0
713,1010,376.0,406.0,0.0
714,1011,377.0,406.0,0.0
715,1012,379.0,406.0,0.0
716,1013,380.0,406.0,0.0
717,1015,383.0,406.0,0.0
718,1016,364.0,407.0,0.0
719,1017,367.0,407.0,0.0
720,1018,369.0,407.0,0.0
721,1019,374.0,407.0,0.0
722,1020,376.0,407.0,0.0
723,1021,381.0,407.0,0.0
724,1022,467.0,421.0,0.0
725,1023,192.0,423.0,0.0
726,1025,31.0,424.0,0.0
727,1026,216.0,424.0,0.0
728,1027,217.0,424.0,0.0
729,1028,28.0,425.0,0.0
730,1029,30.0,425.0,0.0
731,1030,35.0,425.0,0.0
732,1031,37.0,425.0,0.0
733,1032,38.0,425.0,0.0
734,1033,41.0,425.0,0.0
735,1035,212.0,425.0,0.0
736,1036,214.0,425.0,0.0
737,1037,215.0,425.0,0.0
738,1038,216.0,425.0,0.0
739,1039,217.0,425.0,0.0
740,1040,463.0,425.0,0.0
741,1041,25.0,426.0,0.0
742,1042,28.0,426.0,0.0
743,1043,31.0,426.0,0.0
744,1045,36.0,426.0,0.0
745,1046,37.0,426.0,0.0
746,1047,39.0,426.0,0.0
747,1048,40.0,426.0,0.0
748,1049,41.0,426.0,0.0
749,1050,45.0,426.0,0.0
750,1051,194.0,426.0,0.0
751,1052,195.0,426.0,0.0
752,1053,215.0,426.0,0.0
753,1055,24.0,427.0,0.0
754,1056,25.0,427.0,0.0
755,1057,28.0,427.0,0.0
756,1058,29.0,427.0,0.0
757,1059,30.0,427.0,0.0
758,1060,34.0,427.0,0.0
759,1061,35.0,427.0,0.0
760,1062,36.0,427.0,0.0
761,1063,40.0,427.0,0.0
762,1065,46.0,427.0,0.0
763,1066,48.0,427.0,0.0
764,1067,49.0,427.0,0.0
765,1068,195.0,427.0,0.0
766,1069,213.0,427.0,0.0
767,1070,215.0,427.0,0.0
768,1071,217.0,427.0,0.0
769,1072,464.0,427.0,0.0
770,1073,23.0,428.0,0.0
771,1075,26.0,428.0,0.0
772,1076,29.0,428.0,0.0
773,1077,30.0,428.0,0.0
774,1078,31.0,428.0,0.0
775,1079,32.0,428.0,0.0
776,1080,34.0,428.0,0.0
777,1081,35.0,428.0,0.0
778,1082,39.0,428.0,0.0
779,1083,40.0,428.0,0.0
780,1085,43.0,428.0,0.0
781,1086,44.0,428.0,0.0
782,1087,45.0,428.0,0.0
783,1088,46.0,428.0,0.0
784,1089,48.0,428.0,0.0
785,1090,49.0,428.0,0.0
786,1091,50.0,428.0,0.0
787,1092,51.0,428.0,0.0
788,1093,205.0,428.0,0.0
789,1095,214.0,428.0,0.0
790,1096,215.0,428.0,0.0
791,1097,217.0,428.0,0.0
792,1098,22.0,429.0,0.0
793,1099,24.0,429.0,0.0
794,1100,25.0,429.0,0.0
795,1101,26.0,429.0,0.0
796,1102,27.0,429.0,0.0
797,1103,31.0,429.0,0.0
798,1105,34.0,429.0,0.0
799,1106,35.0,429.0,0.0
800,1107,38.0,429.0,0.0
801,1108,41.0,429.0,0.0
802,1109,42.0,429.0,0.0
803,1110,45.0,429.0,0.0
804,1111,49.0,429.0,0.0
805,1112,51.0,429.0,0.0
806,1113,52.0,429.0,0.0
807,1115,205.0,429.0,0.0
808,1116,206.0,429.0,0.0
809,1117,208.0,429.0,0.0
810,1118,215.0,429.0,0.0
811,1119,217.0,429.0,0.0
812,1120,22.0,430.0,0.0
813,1121,25.0,430.0,0.0
814,1122,26.0,430.0,0.0
815,1123,27.0,430.0,0.0
816,1125,30.0,430.0,0.0
817,1126,32.0,430.0,0.0
818,1127,35.0,430.0,0.0
819,1128,36.0,430.0,0.0
820,1129,37.0,430.0,0.0
821,1130,39.0,430.0,0.0
822,1131,40.0,430.0,0.0
823,1132,41.0,430.0,0.0
824,1133,42.0,430.0,0.0
825,1135,49.0,430.0,0.0
826,1136,51.0,430.0,0.0
827,1137,199.0,430.0,0.0
828,1138,200.0,430.0,0.0
829,1139,203.0,430.0,0.0
830,1140,206.0,430.0,0.0
831,1141,210.0,430.0,0.0
832,1142,211.0,430.0,0.0
833,1143,212.0,430.0,0.0
834,1145,215.0,430.0,0.0
835,1146,216.0,430.0,0.0
836,1147,20.0,431.0,0.0
837,1148,21.0,431.0,0.0
838,1149,23.0,431.0,0.0
839,1150,25.0,431.0,0.0
840,1151,26.0,431.0,0.0
841,1152,27.0,431.0,0.0
842,1153,30.0,431.0,0.0
843,1155,34.0,431.0,0.0
